City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,celestun,20.8667,-90.4,28.82,79,71,5.08,MX,1726629899
117,aasiaat,68.7098,-52.8699,-2.0,86,95,2.36,GL,1726629901
118,kapa'a,22.0752,-159.319,28.18,76,20,6.17,US,1726629813
119,pathein,16.7833,94.7333,28.05,83,100,3.86,MM,1726629903
120,antalaha,-14.9003,50.2788,20.06,85,23,2.61,MG,1726629904
121,meridian,43.6121,-116.3915,15.95,84,100,1.54,US,1726629878
122,kikwit,-5.041,18.8162,23.42,80,4,1.37,CD,1726629906
123,haiku-pauwela,20.9219,-156.3051,27.34,74,40,10.73,US,1726629907
124,mao,39.8885,4.2658,19.31,72,100,4.12,ES,1726629909
125,puerto cabezas,14.0351,-83.3888,26.62,92,100,1.97,NI,1726629910
126,kununurra,-15.7667,128.7333,29.7,33,100,7.34,AU,1726629911
127,port lincoln,-34.7333,135.8667,19.19,33,0,9.37,AU,1726629912
128,akureyri,65.6835,-18.0878,6.96,93,100,1.03,IS,1726629913
129,booneville,34.6582,-88.5667,19.45,83,4,1.87,US,1726629914
130,darwin,-12.4611,130.8418,30.95,56,100,5.59,AU,1726629916
131,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.03,GF,1726629643
132,isafjordur,66.0755,-23.124,1.48,99,100,2.2,IS,1726629918
133,sandnessjoen,66.0217,12.6316,13.02,89,100,12.3,NO,1726629919
134,la'ie,21.6477,-157.9253,29.66,78,93,2.24,US,1726629920
135,newman,37.3138,-121.0208,21.13,57,100,2.33,US,1726629746
136,bay roberts,47.5999,-53.2648,16.62,96,64,3.49,CA,1726629922
137,amurzet,47.6967,131.0981,23.34,34,21,7.43,RU,1726629924
138,kilinochchi,9.3961,80.3982,30.84,61,48,5.72,LK,1726629925
139,galesong,-5.3166,119.3661,29.76,62,70,3.63,ID,1726629926
140,west island,-12.1568,96.8225,24.39,69,78,3.59,CC,1726629927
141,lerwick,60.1545,-1.1494,13.0,96,100,4.28,GB,1726629928
142,lihue,21.9789,-159.3672,27.77,73,20,6.17,US,1726629929
143,port hedland,-20.3167,118.5667,27.5,66,5,7.58,AU,1726629930
144,ilheus,-14.7889,-39.0494,20.89,84,8,0.94,BR,1726629932
145,lorengau,-2.0226,147.2712,29.18,81,21,5.4,PG,1726629933
146,santa ana,33.7456,-117.8678,19.86,71,0,3.09,US,1726629787
147,eldama ravine,0.0516,35.7308,13.2,81,85,0.91,KE,1726629935
148,tolanaro,-25.0319,46.9987,24.04,69,20,8.23,MG,1726629936
149,kangding,30.0513,101.9603,21.26,69,59,1.86,CN,1726629939
150,grand rapids,42.9634,-85.6681,17.81,75,0,1.54,US,1726629816
151,belmonte,-15.8631,-38.8828,21.69,85,8,1.16,BR,1726629941
152,east london,-33.0153,27.9116,14.52,82,0,3.6,ZA,1726629920
153,pico truncado,-46.7949,-67.9573,6.81,69,99,3.99,AR,1726629943
154,dudinka,69.4058,86.1778,3.53,72,99,4.09,RU,1726629944
155,thompson,55.7435,-97.8558,12.09,87,0,0.0,CA,1726629946
156,constantia,44.1833,28.65,17.61,69,3,7.96,RO,1726629947
157,rawson,-43.3002,-65.1023,13.16,38,0,3.6,AR,1726629746
158,vernon,50.2581,-119.2691,18.02,63,22,1.03,CA,1726629693
159,zahir pir,28.8124,70.524,31.67,44,0,4.91,PK,1726629950
160,jinjiang,24.8198,118.5741,32.53,51,2,6.05,CN,1726629951
161,broken hill,-31.95,141.4333,22.72,11,0,8.26,AU,1726629952
162,harlingen,26.1906,-97.6961,27.81,96,0,3.6,US,1726629954
163,port mathurin,-19.6833,63.4167,21.7,83,62,8.34,MU,1726629662
164,nikolayevka,53.1257,47.2041,8.48,56,9,1.08,RU,1726629956
165,alzamay,55.5562,98.6644,4.19,88,100,4.89,RU,1726629958
166,nizhniy odes,63.6445,54.856,10.92,64,88,1.98,RU,1726629959
167,klaksvik,62.2266,-6.589,13.25,87,78,11.83,FO,1726629962
168,ust'-barguzin,53.45,108.9833,5.55,77,95,4.26,RU,1726629963
169,mar del plata,-38.0023,-57.5575,15.29,82,0,4.63,AR,1726629720
170,pisco,-13.7,-76.2167,17.03,82,100,2.06,PE,1726629965
171,kolonia town,6.964,158.206,34.0,52,40,6.69,FM,1726629966
172,alupka,44.4167,34.05,19.51,85,36,1.35,UA,1726629968
173,kulattur,9.0167,78.2,31.1,49,41,5.83,IN,1726629969
174,presidente medici,-11.1753,-61.9014,31.04,35,75,1.64,BR,1726629970
175,la passe,45.5549,-0.8967,14.84,84,0,6.34,FR,1726629971
176,mount isa,-20.7333,139.5,22.6,50,100,5.96,AU,1726629972
177,yashkul',46.1711,45.3435,12.03,29,100,4.4,RU,1726629974
178,kone,-21.0595,164.8658,24.9,43,93,5.03,NC,1726629976
179,soto la marina,23.7667,-98.2167,26.1,89,9,2.52,MX,1726629977
180,touros,-5.1989,-35.4608,24.05,79,0,5.41,BR,1726629978
181,codrington,-38.2667,141.9667,16.83,51,0,11.1,AU,1726629979
182,olyokminsk,60.3736,120.4264,3.38,96,100,4.44,RU,1726629980
183,buta,2.7858,24.73,20.41,99,35,0.45,CD,1726629982
184,tommot,58.9564,126.2925,5.11,77,100,4.87,RU,1726629983
185,taro,-8.3862,115.28,28.91,39,82,2.35,ID,1726629984
186,ta`u,-14.2336,-169.5144,26.92,70,20,1.1,AS,1726629985
187,pasni,25.2631,63.471,26.62,86,0,4.48,PK,1726629986
188,hilo,19.7297,-155.09,25.61,95,100,1.54,US,1726629987
189,mahina,-17.5065,-149.489,27.87,74,0,3.09,PF,1726629988
190,pierre,44.3683,-100.351,29.04,54,0,11.32,US,1726629990
191,paragominas,-2.9667,-47.4833,25.01,71,4,2.34,BR,1726629991
192,uturoa,-16.7333,-151.4333,25.97,83,99,4.51,PF,1726629992
193,loukhi,66.0764,33.0381,7.75,93,62,3.03,RU,1726629993
194,machico,32.7,-16.7667,22.35,70,75,4.12,PT,1726629994
195,cabedelo,-6.9811,-34.8339,23.37,81,0,5.06,BR,1726629882
196,greymouth,-42.4667,171.2,5.96,94,100,2.24,NZ,1726629997
197,nizhnesortymskiy,62.4397,71.7603,12.98,92,85,5.71,RU,1726629998
198,lethem,3.3803,-59.7968,26.9,62,51,2.51,GY,1726629999
199,okha,53.5739,142.9478,9.56,75,100,6.82,RU,1726630000
200,chibougamau,49.9168,-74.3659,17.79,88,100,3.6,CA,1726630001
201,georgetown,5.4112,100.3354,31.96,76,20,2.57,MY,1726629924
202,bozdar wada,27.1828,68.636,29.69,59,0,5.53,PK,1726630005
203,tanjung pandan,-2.75,107.65,31.06,53,100,4.19,ID,1726630006
